Accession Number,Date Received,ISBN,Author,Title of Book,Edition,Volume,Pages,Publisher,Place of Publication,Year,Program,Location,Call number from Sophia
1076,10/17/17,9789719800866,"Dela Cruz, Perla et al.",Analytic Geometry (Revised Edition),,,400,"C&E Publishing, Inc.",Philippines,2013,BSCS,Filipiniana,QA 551 D34 2013
1077,10/17/17,9781635495973,"Walker, Lucius",Tourism and Hospitality Management,,,318,Larsen and Keller Education,United States,2017,BSTM,Circulation,G 155.A1 T72 2017
1078,10/17/17,9789719905301,"Lim, Romeo",Principles & Scopes of Tourism,,,322,"Mindshapers Co., Inc.",Philippines,2012,BSTM,Filipiniana,FIL G 155.A1 L56 2012
1079,10/17/17,9781682850862,"Muller, Johanna",Principles of Tourism Management (Willford Press),,,203,Willford Press,United States,2016,BSTM,Circulation,G 155.A1 P95 2016
1080,10/17/17,9781682850862,"Muller, Johanna",Principles of Tourism Management (Willford Press),,,203,Willford Press,United States,2016,BSTM,Circulation,G 155.A1 P95 2016
1081,10/17/17,9789719905202,"Lim, Romeo",Understanding Travel & Tours Essentials,,,266,"Mindshapers Co., Inc.",Philippines,2011,BSTM,Circulation,FIL G 155.A1 L73 2011
1082,10/17/17,9781635495959,"Boyd, Dante",International Tourism: A Contemporary Approach,,,469,Larsen and Keller Education,United States,2017,BSTM,Circulation,G 155.A1 B79 2017
1083,10/17/17,9789712730092,"Harris, Tony",Advertising More Fun in the Philippines,,,167,"Anvil Publishing, Inc.",Philippines,2014,BSTM,Filipiniana,FIL HF 5803 P5H31 2014
1084,10/17/17,9788126160358,"Sinha, Aadesh",Fundamentals of Front Desk Management,,,284,Anmol Publications Pvt. Ltd.,India,2014,BSTM,Circulation,TX 911.3 F75 S61 2014
1085,10/17/17,9789719905820,"Laxa, Nathaniel & Gerona, Geneses",Introduction to Cruise Line,,,131,"Mindshapers Co., Inc.",Philippines,2014,BSTM,Filipiniana,FIL HE 570 L39 2014
1086,10/17/17,9789710412778,"Bueno, David",Food Microbiology and Food Safety,,,236,Books Atbp. Publishing Corp.,Philippines,2014,BSTM,Filipiniana,FIL TX 31 B862 2014
1087,10/17/17,9789710412778,"Bueno, David",Food Microbiology and Food Safety,,,236,Books Atbp. Publishing Corp.,Philippines,2014,BSTM,Filipiniana,
1088,10/17/17,9786214060566,"Cagurangan, Tranquilino",Laws in the Hospitality Industry: The Philippine Tourism Laws Simplified,,,159,"Mindshapers Co., Inc.",Philippines,2017,BSTM,Filipiniana,FIL TX 911.3 L38C13 2017
1089,10/17/17,9789713013583,"Gatchalian, Miflora et al.",Introduction to Food Technology Volume 1: 2nd edition,2nd,1,315,"Merriam & Webster Bookstore, Inc.",Philippines,2016,BSTM,Filipiniana,FIL TP 370 F664 G25 2016
1090,10/17/17,9780761480679,"Taylor, Sally Adamson",Culture Shock! A Survival Guide to Customs and Etiquette: France,9th,,260,Marshall Cavendish Corporation,United States,2012,BSTM,Reference,G 155.A2 C85 2012
1091,10/17/17,9780761454823,"Wei, Betty & Li, Elizabeth",Culture Shock! A Survival Guide to Customs and Etiquette: Hong Kong,,,288,Marshall Cavendish Corporation,United States,2011,BSTM,Reference,G 155.A2 C85 2008
1092,10/17/17,9780761400561,"Vegdahl, Sonja & Hur, Ben Seunghwa",Culture Shock! A Survival Guide to Customs and Etiquette: Korea,7th,,258,Marshall Cavendish Corporation,United States,2012,BSTM,Reference,REF G 155.A2 C85k 2012
1093,10/17/17,9780761480648,"Barlas, Robert & Wanasundera, Nanda",Culture Shock! A Survival Guide to Customs and Etiquette: Sri Lanka,6th,,202,Marshall Cavendish Corporation,United States,2012,BSTM,Reference,G 155.A2 C85 2012
1094,10/17/17,9780761480624,"North, Peter & Tripp, Harvey",Culture Shock! A Survival Guide to Customs and Etiquette: Saudi Arabia,4th,,266,Marshall Cavendish Corporation,United States,2012,BSTM,Reference,G 155.A2 C85 2012
1095,10/17/17,9781635495959,"Boyd, Dante",International Tourism: A Contemporary Approach,,,469,Larsen and Keller Education,United States,2017,BSTM,Circulation,G 155.A1 I58 2017
1096,10/17/17,9781743601655,"Baxter, Sarah",The Best Place to be Today: 365 things to do & the perfect day to do them,,,265,Lonely Planet Publications Pty. Ltd.,Australia,2014,BSTM,Circulation,FIL G 153.4 B39 2014
1097,10/17/17,9781770268159,"Hicks, Nigel",The Philippines (Travel Guide: Globetrotter),6th,,126,Map Studio,South Africa,2016,BSTM,Reference,REF G 155.P55 H63 2016
1098,10/17/17,9781101879719,"D'Acierno, Amanda",Fodor's Travel: Japan,22nd,,842,Fodor's Travel,United States,2016,BSTM,Circulation,REF DS 811 F65 2016
1099,10/17/17,9781743603604,"George, Don",An Innocent Abroad: Life-Changing Trips from 35 Great Writers,1st,,307,Lonely Planet Publications,Australia,2014,BSTM,Circulation,D 923 158 2014
1100,10/17/17,9781101878583,"D'Acierno, Amanda","Fodor's Travel: Thailand with Myanmar (Burma), Cambodia, Laos",14th,,669,Fodor's Travel,United States,2016,BSTM,Circulation,REF DS 563 F65 2016
1101,10/17/17,9789716101331,"Manaog, Giselle",Mga Sari-saring Lutuing Pinoy,,,182,"Isa-Jecho Publishing, Inc.",Philippines,2015,BSTM,Circulation,FIL TX 724.5P5 M26 2015
1102,10/17/17,9789810699512,"McSwane, David et al.",Food Safety and Sanitation (4th edition),4th,,418,Pearson Education South Asia Pte. Ltd.,Singapore,2006,BSTM,Circulation,TX 911.3 S3M17 2005
1103,10/17/17,9786214200641,Via Mare Corporation,"Via Mare: 40 years of iconic events through menus, recipes and memories",,,169,"Anvil Publishing, Inc.",Philippines,2016,BSTM,Filipiniana,F TX 945.5 V59 2016
1104,10/17/17,9789712731709,"Polistico, Edgie","Philippine Food, Cooking, & Dining Dictionary",,,379,"Anvil Publishing, Inc.",Philippines,2016,BSTM,Reference,REF TX 349 P76 2016
1105,10/17/17,9781909612686,"Hicks, Nigel",Journey through the Philippines,,,176,John Beaufoy Publishing,England,2017,BSTM,Filipiniana,FIL G 153.4.P5 H63 2017
1106,10/17/17,9781743600658,Lonely Planet,The World: A Traveller's Guide to the Planet,,,959,Lonely Planet Publications Pty. Ltd.,Singapore,2014,BSTM,Reference,REF RG 153.4 L84 20134
1107,10/17/17,9789814484015,"Roces, Alfredo & Roces, Grace",Culture Shock! A Survival Guide to Customs and Etiquette: Philippines,8th,,315,Marshall Cavendish Editions,Singapore,2014,BSTM,Reference,FIL G 155.A2 C85 2013
1108,10/17/17,9780761400424,"Kolanad, Gitanjali",Culture Shock! A Survival Guide to Customs and Etiquette: India,7th,,297,Marshall Cavendish Corporation,United States,2013,BSTM,Reference,G 155.A2 C85 2012
1109,10/17/17,9780761480655,"Sharp, Ilsa",Culture Shock! A Survival Guide to Customs and Etiquette: Australia,8th,,448,Marshall Cavendish Corporation,United States,2012,BSTM,Reference,G 155.A2 C85 2012
1110,10/17/17,9780761456674,"Hargraves, Orin",Culture Shock! A Survival Guide to Customs and Etiquette: London,6th,,293,Marshall Cavendish Corporation,United States,2009,BSTM,Reference,G 155.A2 C85 2009
1111,10/17/17,9780761454861,"Falassi, Alessandro & Flower, Raymond",Culture Shock! A Survival Guide to Customs and Etiquette: Italy,6th,,289,Marshall Cavendish Corporation,United States,2011,BSTM,Reference,
1112,10/17/17,9789814677110,"Jackson-Nash, Kelly",Culture Shock! A Survival Guide to Customs and Etiquette: Singapore,4th,,286,Marshall Cavendish Editions,Singapore,2016,BSTM,Reference,G 155.A2 C85 2016 v.13
1113,10/17/17,9780761458739,"Bacon, Derek & Collins, Terry",Culture Shock! A Survival Guide to Customs and Etiquette: Jakarta,2nd,,355,Marshall Cavendish Corporation,United States,2013,BSTM,Reference,
1114,10/17/17,9789715427388,"Corpus, Rina Angela","Dance and Other Slippages: Critical Narratives on Women, Dance and Art",,,143,The University of the Philippines Press,Philippines,2014,GEC,Filipiniana,FIL GV 1783 C82 2014
1115,10/17/17,9789715067928,"Tolentino, Rolando",Kabataang Kulturang Popular at Mga Sanaysay sa Kartograpiya ng Disaster at Aktibismo sa Filipinas,,,254,University of Santo Thomas Publishing House,Philippines,2016,GEC,Filipiniana,FIL PL 6063 T64 2016
1116,10/17/17,9789712728785,"Namiki, Kanami","Ramon Obusan, Philippine Folkdance, and Me: From the Perspective of a Japanese Dancer",,,147,"Anvil Publishing, Inc.",Philippines,2014,GEC,Filipiniana,FIL GV 1743K16 2014
1117,10/17/17,9789715067799,"Torres, Catherine",Mariposa Gang and Other Stories,,,100,University of Santo Thomas Publishing House,Philippines,2016,GEC,Filipiniana,FIL PL 5539 T68 2016
1118,10/17/17,9789712380204,"Gatchalian-Badilla, Maricel & Oreta, Miriam",Tourism Promotion Services,,,255,"REX Book Store, Inc.",Philippines,2017,BSTM,Filipiniana,FIL G 155 A1B13 2017
1119,10/17/17,9781780051222,"Le Bas, Tom",Insight Guides: Philippines,,,384,APA Publications Ltd.,United Kingdom,2015,BSTM,Reference,
1120,10/17/17,9781780051222,"Le Bas, Tom",Insight Guides: Philippines,,,384,APA Publications Ltd.,United Kingdom,2015,BSTM,Reference,
1121,10/17/17,9786214200160,"Palafox, Jr., Felino",The Philippines: Towards Resilient Cities and Communities,,,162,"Anvil Publishing, Inc.",Philippines,2017,BSTM,Filipiniana,FIL HB 3649 P15 2017
1122,10/17/17,9786214201914,"Panlilio, Erlinda Enriquez",The Manila We Know,,,194,"Anvil Publishing, Inc.",Philippines,2017,BSTM,Filipiniana,DS 689 M2 2015
1123,10/17/17,9786214200733,"Evasco, Marjorie",The Bohol We Love,,,421,"Anvil Publishing, Inc.",Philippines,2017,BSTM,Filipiniana,FIC DS 688 B64 2017
1124,10/17/17,9789712723698,"Libosada, Jr., Carlos",Domestic Tourism (New Edition),,,209,"Anvil Publishing, Inc.",Philippines,2014,BSTM,Filipiniana,FIL G 155.P5 L53 2010 c.1
1125,10/17/17,9789712723698,"Libosada, Jr., Carlos",Domestic Tourism (New Edition),,,209,"Anvil Publishing, Inc.",Philippines,2014,BSTM,Filipiniana,FIL G 155.P5 L53 2010 c.2
1126,10/17/17,9789712368165,"Cruz, Reil",Tourism Planning and Development,,,207,"REX Book Store, Inc.",Philippines,2014,BSTM,Filipiniana,G 155.A1 C95 2014
1127,10/17/17,9789284413829,World Tourism Organization,Tourism and Intangible Cultural Heritage,,,109,World Tourism Organization (UNWTO),Spain,2012,BSTM,Circulation,G 156.5.H47 T72 2012 c.1
1128,10/17/17,9789712368165,"Cruz, Reil",Tourism Planning and Development,,,207,"REX Book Store, Inc.",Philippines,2014,BSTM,Filipiniana,G 155.A1 C95 2014
1129,10/17/17,9789712368165,"Cruz, Reil",Tourism Planning and Development,,,207,"REX Book Store, Inc.",Philippines,2014,BSTM,Filipiniana,G 155.A1 C95 2014
1130,10/17/17,9789712368165,"Cruz, Reil",Tourism Planning and Development,,,207,"REX Book Store, Inc.",Philippines,2014,BSTM,Filipiniana,G 155.A1 C95 2014
1131,10/17/17,9789719983101,"Lim, Romeo",Ecotourism with Tourism Planning and Development Essentials,,,296,"Mindshapers Co., Inc.",Philippines,2013,BSTM,Filipiniana,G 156.5.E6 L56 2013
1132,10/17/17,9788126160129,"Sisodia, Hrishikesh",Economic Impact of Travel and Tourism,,,292,Anmol Publications Pvt. Ltd.,India,2014,BSTM,Circulation,G 155.A1 S62 2014
1133,10/17/17,9789814738750,"Bluman, Allan",Elementary Statistics: A Step-by-Step Approach,7th,,639,McGraw-Hill,United States,2015,BSTM,Circulation,QA 276.12 B46 2016
1134,10/17/17,9789814738750,"Bluman, Allan",Elementary Statistics: A Step-by-Step Approach,7th,,639,McGraw-Hill,United States,2015,BSTM,Circulation,Q 276.12 B46 2016
1135,10/17/17,9789712728723,"Barretto, Glenda",Kulinarya: A Guidebook to Philippine Cuisine,,,231,"Anvil Publishing, Inc.",Philippines,2013,BSTM,Reference,F TX 724.5 .P5 K 96 2016
1136,10/17/17,9789814714051,"Fitzsimmons, James et al.","Service Management: Operations, Strategy, Information Technology",8th,,494,McGraw-Hill,United States,2015,BSTM,Circulation,HD 9880 F56 2015
1137,10/17/17,9789719804208,"Romero, Eloisa",Planning for Philippine Tourism Development with Logframe,,,151,"C&E Publishing, Inc.",Philippines,2016,BSTM,Filipiniana,FIL G 155.P6R66 2016
1138,10/17/17,9786210201086,"Aquino, David Robert & Padilla, Rodolfo",Tourism Laws and Ethics,,,393,"Central Book Supply, Inc.",Philippines,2016,BSTM,Filipiniana,KPM 1030.3.T67 A68 2016 c.1
1139,10/17/17,9786210201086,"Aquino, David Robert & Padilla, Rodolfo",Tourism Laws and Ethics,,,393,"Central Book Supply, Inc.",Philippines,2016,BSTM,Filipiniana,KPM 1030.3.T67 A68 2016 c.2
1140,10/17/17,9789719229247,"Javier, Nancy Joan",Tourism Laws: Focus on the Philippines: Updated with the Tourism Act of 2009,3rd,,258,Lex Turismo Publications,Philippines,2012,BSTM,Filipiniana,FIL KPM 3425 T67J41 2012
1141,10/17/17,9789719229247,"Javier, Nancy Joan",Tourism Laws: Focus on the Philippines: Updated with the Tourism Act of 2009,3rd,,258,Lex Turismo Publications,Philippines,2012,BSTM,Filipiniana,FIL KPM 3425 T67J41 2012
1142,10/17/17,9789719533832,"Rodolfa, Jr., Bernardo","Events Management: Guide for Tourism, Hospitality, and Business Professionals",,,127,"Mindshapers Co., Inc.",Philippines,2012,BSTM,Filipiniana,FIL GT 3405 R69 2012
1143,10/17/17,9789712727825,"Philippine Association of Convention/Exhibition Organizers and Suppliers, Inc. (PACEOS)",The Events Planning Manual,,,72,"Anvil Publishing, Inc.",Philippines,2013,BSTM,Filipiniana,F GT 3405 P 55 2013
1144,10/17/17,9789719905967,"Cornell, Daryl Ace et al.",Resorts & Recreation Management: An Introduction,,,135,"Mindshapers Co., Inc.",Philippines,2015,BSTM,Filipiniana,
1145,10/17/17,9789712351006,"Lansangan-Cruz, Zenaida",Principles and Ethics of Tour Guiding,,,151,"REX Book Store, Inc.",Philippines,2015,BSTM,Filipiniana,GV 155.A1 C95 2008
1146,10/17/17,9789712371226,"Altez-Romero, Eloisa",Events Management,,,113,"REX Book Store, Inc.",Philippines,2015,BSTM,Filipiniana,
1147,10/17/17,9781500971649,"Manning, Nick",How to be a Tour Guide: The essential training manual for Tour Managers and Tour Guides,,,269,CreateSpace,CreateSpace,2014,BSTM,Reference,G 154.7 M29 2014 c.1
1148,10/17/17,9781500971649,"Manning, Nick",How to be a Tour Guide: The essential training manual for Tour Managers and Tour Guides,,,269,CreateSpace,CreateSpace,2014,BSTM,Reference,G 154.7 M29 2014 c.2
1149,10/17/17,9789712351006,"Lansangan-Cruz, Zenaida",Principles and Ethics of Tour Guiding,,,151,"REX Book Store, Inc.",Philippines,2008,BSTM,Filipiniana,GV 155.A1 C95 2008
1150,10/17/17,9789712371226,"Altez-Romero, Eloisa",Events Management,,,113,"REX Book Store, Inc.",Philippines,2015,BSTM,Filipiniana,GT 3405 R76 2015
1151,10/17/17,9789719946359,"Ong, Flocer Lao",Fundamentals of Accounting: Workbook for Beginners (3rd edition),3rd,,323,"C&E Publishing, Inc.",Philippines,2012,BSTM,Circulation,
1152,10/17/17,9781514442463,"Perks, Jeremy & Barrie, Jan",How to be an Award-Winning Tour Guide,,,181,Global Gypsies Pty. Ltd.,Australia,2015,BSTM,Circulation,G 154.7 P44 2015
1153,10/17/17,9781514442463,"Perks, Jeremy & Barrie, Jan",How to be an Award-Winning Tour Guide,,,181,Global Gypsies Pty. Ltd.,Australia,2015,BSTM,Circulation,G 154.7 P44 2015
1154,10/17/17,9781511763585,"Newton, Matthew",Sell More Tours: The Essential Guide to Online Marketing for Day Tour and Activity Operators,,,304,CreateSpace,CreateSpace,2015,BSTM,Reference,G 155.A1 N56 2015 c.1
1155,10/17/17,9780994817105,"Miyazaki, Asha","The Philippines: Your Ultimate Guide to Traveling, Culture, History, Food and More!",,,54,Experience Everything Publishing,United States,2015,BSTM,Filipiniana,FIL G 155.P5 M68 2015 c.1
1156,10/17/17,9780994817105,"Miyazaki, Asha","The Philippines: Your Ultimate Guide to Traveling, Culture, History, Food and More!",,,54,Experience Everything Publishing,United States,2015,BSTM,Filipiniana,FIL G 155.P5 M68 2015 c.2
1157,10/17/17,9781517560096,"Navarro, Marissa",Philippines: Travel & Tourism Guide,,,162,CreateSpace,CreateSpace,2015,BSTM,Filipiniana,FIL G 155 P5 N32
1158,10/17/17,9781517560096,"Navarro, Marissa",Philippines: Travel & Tourism Guide,,,162,CreateSpace,CreateSpace,2015,BSTM,Filipiniana,FIL G 155.P5 N38 2015
1159,10/17/17,9781511763585,"Newton, Matthew",Sell More Tours: The Essential Guide to Online Marketing for Day Tour and Activity Operators,,,304,CreateSpace,CreateSpace,2015,BSTM,Filipiniana,G 155.A1 N56 2015 c.2
1160,10/17/17,9781533143808,"Kumar, Chiranjib",Tour Guiding: A Training Manual & Professional Approach of Guiding in Tourism,,,104,CreateSpace,CreateSpace,2016,BSTM,Filipiniana,G 154 K96
1161,10/17/17,9781533143808,"Kumar, Chiranjib",Tour Guiding: A Training Manual & Professional Approach of Guiding in Tourism,,,104,CreateSpace,CreateSpace,2016,BSTM,Filipiniana,G 154 R96
1162,10/17/17,9781412998680,"Peterson, Mark",Sustainable Enterprise: A Macromarketing Approach,,,533,"SAGE Publications, Inc.",United States,2013,BSTM,Circulation,HF 5415 P48 2013
1163,10/17/17,9781944659011,"Wirtz, Jochen & Lovelock, Christopher","Services Marketing: People, Technology, Strategy",8th,,783,"World Scientific Publishing Co., Inc.",United States,2016,BSTM,Circulation,HF 5415.13 W79 2016 c.1
1164,10/17/17,9781944659011,"Wirtz, Jochen & Lovelock, Christopher","Services Marketing: People, Technology, Strategy",8th,,783,"World Scientific Publishing Co., Inc.",United States,2016,BSTM,Circulation,HF 5415.13 W79 2016 c.2
1165,10/17/17,9781133687030,"Mancini, Marc",Access: Introduction to Travel & Tourism (2nd edition),2nd,,313,Cengage Learning,United States,2013,BSTM,Circulation,G 155.5 M36 2013
1166,10/17/17,9789719905561,"Carino, Celia & Yap, Jennefer",Learn & Practice Hotel Housekeeping,,,214,"Mindshapers Co., Inc.",Philippines,2013,BSTM,Filipiniana,TX 928 C27 2013
1167,10/17/17,9781493943159,"Ireland, Tracey & Schofield, John",The Ethics of Cultural Heritage,,,219,Springer Science+ Business Media,New York,2015,BSTM,Circulation,CC 135 E 84 2015
1168,10/17/17,9789719654643,"Flores, Marivic",Business Policy and Strategy (Flores),,,175,"Unlimited Books Library Services & Publishing, Inc.",Philippines,2017,BSTM,Filipiniana,FIL HD 30.28 F63 2017
1169,10/17/17,9789719806035,"Garcia, Jr., Leonardo & Soriano, Enriquez",Services Marketing: Era of Engagement,,,232,"C&E Publishing, Inc.",Philippines,2017,BSTM,Filipiniana,FIL HD 9980.5 G37 2017
1170,10/17/17,9781119284956,"Belvedere, Valeria & Grando, Alberto",Sustainable Operations and Supply Chain Management,,,228,"John Wiley & Sons, Ltd.",United Kingdom,2017,BSTM,Circulation,HC 79.E5 B45 2017
1171,10/17/17,9789810686185,"Wirtz, Jochen et al.",Essentials of Services Marketing (2nd edition),2nd,,648,Pearson Education South Asia Pte. Ltd.,Singapore,2012,BSTM,Circulation,
1172,10/17/17,9789719809500,"Rabe-Aranda, Maria Rosario et al.",English for Tourism and Hospitality Industry,,,134,"C&E Publishing, Inc.",Philippines,2018,BSTM,Filipiniana,G 155.A1 R11 2018
1173,10/17/17,9789719809500,"Rabe-Aranda, Maria Rosario et al.",English for Tourism and Hospitality Industry,,,134,"C&E Publishing, Inc.",Philippines,2018,BSTM,Filipiniana,G 155.A1 R11 2018
1174,10/17/17,9780471687894,"Jagels, Martin",Hospitality Management Accounting (9th edition),9th,,596,"John Wiley & Sons, Inc.",Canada,2007,BSTM,Circulation,HF 5686.H75 J34 2004 c.3
1175,10/17/17,9781466493759,"Camarena, Lance",Coaching for the World's Best Tour Guides,,,111,CreateSpace,CreateSpace,2012,BSTM,Reference,G 154.7 C17 2012 c.1
1176,10/17/17,9781466493759,"Camarena, Lance",Coaching for the World's Best Tour Guides,,,111,CreateSpace,CreateSpace,2012,BSTM,Reference,G 154.7 C17 2012 c.2
1177,10/17/17,9780071278515,"Andrews, Sudhir",Introduction to Tourism & Hospitality Industry (International Edition),,,228,McGraw-Hill,United States,2008,BSTM,Circulation,G 155.A1 A56 2008
1178,10/17/17,9789284413829,World Tourism Organization,Tourism and Intangible Cultural Heritage,,,109,World Tourism Organization (UNWTO),Spain,2012,BSTM,Circulation,G 156.5.H47 T72 2012 c.2
1179,10/17/17,9789712709937,"Ong, Yolanda",The Science of Advertising,,,239,"Anvil Publishing, Inc.",Philippines,2000,BSTM,Filipiniana,HF 5823 058 2000
1180,10/17/17,9780749478513,"Morley, David",Strategic Tendering for Professional Services,,,190,Kogan Page Limited,United States,2017,BSTM,Circulation,
1181,10/17/17,9789719804437,"Salvador, Germaine Angelica","Event Management: Envision, Execute and Evaluate",2nd,,223,"C&E Publishing, Inc.",Philippines,2016,BSTM,Filipiniana,GT 3405 S18 2016
1182,10/17/17,9781910158623,"Tribe, John",Strategy for Tourism (2nd edition),2nd,,280,Goodfellow Publishers Ltd.,United States,2016,BSTM,Circulation,G 155.A1 T82 2016
1183,10/17/17,9789814604178,Kotler/Bowen/Makens,Marketing for Hospitality and Tourism (6th edition),6th,,628,Pearson Education South Asia Pte. Ltd.,Singapore,2014,BSTM,Circulation,TX 911.3M3 K87 2014
1184,10/17/17,9789715849760,"Santos, Buen & Manzano, Ronald",Principles of Tourism 2,,,146,"C&E Publishing, Inc.",Philippines,2010,BSTM,Filipiniana,G 155.A1 S23 2010
1185,10/17/17,9781584799733,"Besa, Amy & Dorotan, Romy",Memories of Philippine Kitchens: Stories and Recipes from Far and Near,,,240,Stewart Tabori & Chang,United States,2012,BSTM,Circulation,FIL TX724.5 P5B55 2012
1186,10/17/17,9783319051819,"Minazzi, Roberta",Social Media Marketing in Tourism and Hospitality,,,163,Springer International Publishing,Switzerland,2015,BSTM,Circulation,G 155.A1 M66 2015 c.1
1187,10/17/17,9783319051819,"Minazzi, Roberta",Social Media Marketing in Tourism and Hospitality,,,163,Springer International Publishing,Switzerland,2015,BSTM,Circulation,G 155.A1 M66 2015 c.2
1188,10/17/17,9783319465166,"Sheldon, Pauline & Daniele, Roberto",Social Entrepreneurship and Tourism: Philosophy and Practice,,,332,Springer International Publishing,Switzerland,2017,BSTM,Circulation,G 155.A1 S67 2017
1189,10/17/17,9783319465166,"Sheldon, Pauline & Daniele, Roberto",Social Entrepreneurship and Tourism: Philosophy and Practice,,,332,Springer International Publishing,Switzerland,2017,BSTM,Circulation,G 155.A1 S67 2017
1190,10/17/17,9789712722677,"Vibal, Victor",Principles of Tourism (Vibal),,,117,"Anvil Publishing, Inc.",Philippines,2010,BSTM,Filipiniana,GV 155.A1 V62 2010
1191,10/17/17,9789712722677,"Vibal, Victor",Principles of Tourism (Vibal),,,117,"Anvil Publishing, Inc.",Philippines,2010,BSTM,Filipiniana,GV 155 A1 V62 2010
1192,10/17/17,9789719645177,"Bueno, David Cababaro",Introduction to Statistics: Concepts and Applications in Research,,,229,Great Books Trading,Philippines,2016,BSTM,Filipiniana,H 62 B92 2016
1193,10/17/17,9789812533548,"Bardi, James",Hotel Front Office Management (5th edition),5th,,492,"John Wiley & Sons, Inc.",United States,2012,BSTM,Circulation,TX 911.3 M27 B24 2012
1194,10/17/17,9780415460194,"Coles, Tim et al.",Student's Guide to Writing Dissertations and Thesis in Tourism Studies and Related Disciplines,,,237,Routledge,United States,2013,BSTM,Circulation,G 155.7 C69 2013 c.1
1195,10/17/17,9780415460194,"Coles, Tim et al.",Student's Guide to Writing Dissertations and Thesis in Tourism Studies and Related Disciplines,,,237,Routledge,United States,2013,BSTM,Circulation,G 155.7 C69 2013 c.2
1196,10/17/17,9789814398565,"Comsti, Angelo",From our Table to Yours: A Collection of Filipino Heirloom Recipes & Family Memories,,,134,Marshall Cavendish International Pvt. Ltd.,Singapore,2013,BSTM,Filipiniana,
1197,10/17/17,9780615831046,"Wilson, Joemy",Coming Up on your Left: A Tour Guide's Guidebook,,,124,Journey Women Press,United States,2013,BSTM,Circulation,G 154.7 W74 2013 c.1
1198,10/17/17,9780615831046,"Wilson, Joemy",Coming Up on your Left: A Tour Guide's Guidebook,,,124,Journey Women Press,United States,2013,BSTM,Circulation,G 154.7 W74 2013 c.2
1199,10/17/17,9781433039942,International Business Publications,Philippines: Transportation and Communication Policy Handbook Volume 1,4th,1,287,International Business Publications,United States,2009,BSTM,Filipiniana,
1200,10/17/17,9781433039942,International Business Publications,Philippines: Transportation and Communication Policy Handbook Volume 1,4th,1,287,International Business Publications,United States,2009,BSTM,Filipiniana,
1201,10/17/17,9780078112843,"Hisrich, Robert et al.",Entrepreneurship (10th edition),10th,,580,McGraw-Hill Education,United States,2017,BSEntrep,Circulation,HD 62.5 H67 2017 c.1
1202,10/17/17,9780078112843,"Hisrich, Robert et al.",Entrepreneurship (10th edition),10th,,580,McGraw-Hill Education,United States,2017,BSEntrep,Circulation,HD 62.5 H67 2017 c.2
1203,10/17/17,9780078112843,"Hisrich, Robert et al.",Entrepreneurship (10th edition),10th,,580,McGraw-Hill Education,United States,2017,BSEntrep,Circulation,HD 62.5 H67 2017 c.3
1204,10/17/17,9780078112843,"Hisrich, Robert et al.",Entrepreneurship (10th edition),10th,,580,McGraw-Hill Education,United States,2017,BSEntrep,Circulation,HD 62.5 H67 2017 c.4
1205,10/17/17,9789712367267,"Medina, Roberto",Entrepreneurship and Small Business Management,3rd,,235,"REX Book Store, Inc.",Philippines,2014,BSEntrep,Filipiniana,HD 62.5 M49 2014
1206,10/17/17,9789712367267,"Medina, Roberto",Entrepreneurship and Small Business Management,3rd,,235,"REX Book Store, Inc.",Philippines,2014,BSEntrep,Filipiniana,HD 62.5 M49 2014
1207,10/17/17,9789719905899,"Saidali, Margarita & Manalad, Cynthia","The Entrepreneur: An Introduction to the World of Business Management, Operation and Financing of Own Business",,,112,"Mindshapers Co., Inc.",Philippines,2015,BSEntrep,Filipiniana,FIL HB 615 S13 2015
1208,10/17/17,9789814352598,"Brigham, Eugene & Houston, Joel",Financial Management Fundamentals (12th edition),12th,,736,Cengage Learning Asia Pte. Ltd.,Singapore,2012,BSEntrep,Circulation,HG 4026 B75 2011
1209,10/17/17,9789814738545,"Saunders, Anthony & Cornett, Marcia",Financial Markets and Institutions (6th edition),6th,,744,McGraw-Hill Education,United States,2016,BSEntrep,Circulation,HG 4910 S28 2016
1210,10/17/17,9780133499919,"Robbins, Stephen et al.",Fundamentals of Management: Essential Concepts and Applications,9th,,482,"Pearson Education, Inc.",United States,2015,BSEntrep,Circulation,HD 31 R63 2015
1211,10/17/17,9780073381541,"Burgelman, Robert et al.",Strategic Management of Technology and Innovation,5th,,1264,McGraw-Hill/Irwin,United States,2004,BSEntrep,Circulation,HD 45 B95 2009
1212,10/17/17,9781845415976,"Hall, Michael et al.","Tourism, Public Transport and Sustainable Mobility",,,231,Channel View Publications,United States,2017,BSTM,Circulation,G 155.A1 H17 2017
1213,10/17/17,9781910158852,"Goodwin, Harold",Responsible Tourism: Using Tourism for Sustainable Development,2nd,,268,Goodfellow Publishers Ltd.,United States,2016,BSTM,Circulation,G 156.5.S87 G65 2016
1214,10/17/17,9781780647500,"Oriade, Ade & Robinson, Peter","Rural Tourism and Enterprise: Management, Marketing and Sustainability",,,253,CAB International,United Kingdom,2017,BSTM,Circulation,G 156.5.S87 G65 2016
1215,10/17/17,9781910158623,"Tribe, John",Strategy for Tourism (2nd edition),2nd,,280,Goodfellow Publishers Ltd.,United States,2016,BSTM,circulation,G 155.A1 T82 2016
